%time core_I mic_click_I mic_click_I battery
0.206 0.243444444444444 0.12 0.002 0.999999645687217
0.207 0.243444444444444 0.12 0.002 0.999999644045233
0.208 0.243444444444444 0.12 0.002 0.999999642403249
0.209 0.243444444444444 0.12 0.002 0.999999640761264
0.21 0.243444444444444 0.12 0.002 0.99999963911928
0.211 0.243444444444444 0.12 0.002 0.999999637477295
0.212 0.243444444444444 0.12 0.002 0.999999635835311
0.213 0.243444444444444 0.12 0.002 0.999999634193326
0.214 0.290194014374928 0.0019999999999999 0.16 0.999999632551342
0.215 0.243444444444444 0.002 0.16 0.999999630909358
0.216 0.243444444444444 0.002 0.16 0.999999629145943
0.217 0.243444444444444 0.002 0.16 0.999999627172706
0.218 0.243444444444444 0.002 0.16 0.999999625199485
0.219 0.243444444444444 0.002 0.16 0.999999623314665
0.22 0.243444444444444 0.002 0.16 0.999999621429839
0.221 0.243444444444444 0.002 0.16 0.999999619545013
0.222 0.243444444444444 0.002 0.16 0.999999617660186
0.223 0.243444444444444 0.002 0.16 0.99999961577536
0.224 0.243444444444444 0.002 0.16 0.999999613890534
0.225 0.243444444444444 0.002 0.16 0.999999612005708
0.226 0.243444444444444 0.002 0.16 0.999999610120881
0.227 0.243444444444444 0.002 0.16 0.999999608236055
0.228 0.243444444444444 0.002 0.16 0.999999606351229
0.229 0.243444444444444 0.002 0.16 0.999999604466402
0.23 0.243444444444444 0.002 0.16 0.999999602581576
0.231 0.243444444444444 0.002 0.16 0.99999960069675
0.232 0.243444444444444 0.002 0.16 0.999999598811923
0.233 0.243444444444444 0.002 0.16 0.999999596927097
0.234 0.243444444444444 0.002 0.16 0.999999595042271
0.235 0.243444444444444 0.002 0.16 0.999999593157445
0.236 0.243444444444444 0.002 0.16 0.999999591272618
0.237 0.243444444444444 0.002 0.16 0.999999589387792
0.238 0.243444444444444 0.002 0.16 0.999999587502966
0.239 0.243444444444444 0.002 0.16 0.999999585618139
0.24 0.243444444444444 0.002 0.16 0.999999583733313
0.241 0.243444444444444 0.002 0.16 0.999999581848487
0.242 0.243444444444444 0.002 0.16 0.999999579963661
0.243 0.243444444444444 0.002 0.16 0.999999578078834
0.244 0.288042372981753 0.12 0.00199999999999986 0.999999576194008
0.245 0.243444444444444 0.12 0.002 0.999999574309182
0.246 0.243444444444444 0.12 0.002 0.999999572545784
0.247 0.243444444444444 0.12 0.002 0.999999570819702
