%time SoC_Batt I_Tot_Bus I_to_Batt Air Temp Meth Mic CPU RF
103 0.929673087409 0.11 0.0627488714286 0.002 0.002 0.002 0.002 0.002 0.1
104 0.929670070636 0.11 0.0627488714286 0.002 0.002 0.002 0.002 0.002 0.1
105 0.929667053863 0.11 0.0627488714286 0.002 0.002 0.002 0.002 0.002 0.1
106 0.929664037091 0.11 0.0627488714286 0.002 0.002 0.002 0.002 0.002 0.1
107 0.929661020318 0.11 0.0627488714286 0.002 0.002 0.002 0.002 0.002 0.1
108 0.929658003545 0.11 0.0627488714286 0.002 0.002 0.002 0.002 0.002 0.1
109 0.929654986773 0.011 0.0627488714286 0.002 0.002 0.002 0.002 0.002 0.001
110 0.92965197 0.011 0.00222519 0.002 0.002 0.002 0.002 0.002 0.001
111 0.92965186302 0.011 0.00222519 0.002 0.002 0.002 0.002 0.002 0.001
112 0.92965175604 0.011 0.00222519 0.002 0.002 0.002 0.002 0.002 0.001
113 0.929651649059 0.011 0.00222519 0.002 0.002 0.002 0.002 0.002 0.001
114 0.929651542079 0.011 0.00222519 0.002 0.002 0.002 0.002 0.002 0.001
115 0.929651435099 0.011 0.00222519 0.002 0.002 0.002 0.002 0.002 0.001
116 0.929651328118 0.011 0.00222519 0.002 0.002 0.002 0.002 0.002 0.001
117 0.929651221138 0.011 0.00222519 0.002 0.002 0.002 0.002 0.002 0.001
118 0.929651114158 0.011 0.00222519 0.002 0.002 0.002 0.002 0.002 0.001
119 0.929651007178 0.011 0.00222519 0.002 0.002 0.002 0.002 0.002 0.001
120 0.929650900197 0.011 0.00222519 0.002 0.002 0.002 0.002 0.002 0.001
121 0.929650793217 48.209 0.00222519 48.2 0.002 0.002 0.002 0.002 0.001
122 0.929650686237 48.209 34.0475322721 48.2 0.002 0.002 0.002 0.002 0.001
123 0.928013785647 48.209 34.0475322721 48.2 0.002 0.002 0.002 0.002 0.001
124 0.926376885057 48.209 34.0475322721 48.2 0.002 0.002 0.002 0.002 0.001
125 0.924739984467 48.209 34.0475322721 48.2 0.002 0.002 0.002 0.002 0.001
126 0.923103083877 48.209 34.0475322721 48.2 0.002 0.002 0.002 0.002 0.001
127 0.921466183287 48.209 34.0475322721 48.2 0.002 0.002 0.002 0.002 0.001
128 0.919829282697 48.209 34.0475322721 48.2 0.002 0.002 0.002 0.002 0.001
129 0.918192382107 48.209 34.0475322721 48.2 0.002 0.002 0.002 0.002 0.001
130 0.916555481517 48.209 34.0475322721 48.2 0.002 0.002 0.002 0.002 0.001
131 0.914918580927 48.209 34.0475322721 48.2 0.002 0.002 0.002 0.002 0.001
132 0.913281680337 48.209 34.0475322721 48.2 0.002 0.002 0.002 0.002 0.001
133 0.911644779747 48.209 34.0475322721 48.2 0.002 0.002 0.002 0.002 0.001
134 0.910007879157 48.209 34.0475322721 48.2 0.002 0.002 0.002 0.002 0.001
135 0.908370978567 48.209 34.0475322721 48.2 0.002 0.002 0.002 0.002 0.001
136 0.906734077977 48.209 34.0475322721 48.2 0.002 0.002 0.002 0.002 0.001
137 0.905097177387 48.209 34.0475322721 48.2 0.002 0.002 0.002 0.002 0.001
138 0.903460276797 48.209 34.0475322721 48.2 0.002 0.002 0.002 0.002 0.001
139 0.901823376207 48.209 34.0475322721 48.2 0.002 0.002 0.002 0.002 0.001
140 0.900186475617 48.209 34.0475322721 48.2 0.002 0.002 0.002 0.002 0.001
141 0.898549575027 48.209 34.0475322721 48.2 0.002 0.002 0.002 0.002 0.001
142 0.896912674437 48.209 34.0475322721 48.2 0.002 0.002 0.002 0.002 0.001
143 0.895275773847 48.209 34.0475322721 48.2 0.002 0.002 0.002 0.002 0.001
144 0.893638873257 48.209 34.0475322721 48.2 0.002 0.002 0.002 0.002 0.001
145 0.892001972667 48.209 34.0475322721 48.2 0.002 0.002 0.002 0.002 0.001
146 0.890365072077 48.209 34.0475322721 48.2 0.002 0.002 0.002 0.002 0.001
147 0.888728171487 48.209 34.0475322721 48.2 0.002 0.002 0.002 0.002 0.001
148 0.887091270896 48.209 34.0475322721 48.2 0.002 0.002 0.002 0.002 0.001
149 0.885454370306 48.209 34.0475322721 48.2 0.002 0.002 0.002 0.002 0.001
150 0.883817469716 48.209 34.0475322721 48.2 0.002 0.002 0.002 0.002 0.001
151 0.882180569126 0.309 34.0475322721 0.002 0.3 0.002 0.002 0.002 0.001
152 0.880543668536 0.309 0.200024109214 0.002 0.3 0.002 0.002 0.002 0.001
153 0.880534051993 0.309 0.200024109214 0.002 0.3 0.002 0.002 0.002 0.001
154 0.880524435449 0.309 0.200024109214 0.002 0.3 0.002 0.002 0.002 0.001
155 0.880514818905 0.309 0.200024109214 0.002 0.3 0.002 0.002 0.002 0.001
156 0.880505202362 0.309 0.200024109214 0.002 0.3 0.002 0.002 0.002 0.001
157 0.880495585818 18.009 0.200024109214 0.002 0.002 18 0.002 0.002 0.001
158 0.880485969274 18.009 12.7660655571 0.002 0.002 18 0.002 0.002 0.001
159 0.879872216122 18.009 12.7660655571 0.002 0.002 18 0.002 0.002 0.001
160 0.879258462971 18.009 12.7660655571 0.002 0.002 18 0.002 0.002 0.001
161 0.878644709819 18.009 12.7660655571 0.002 0.002 18 0.002 0.002 0.001
162 0.878030956667 18.009 12.7660655571 0.002 0.002 18 0.002 0.002 0.001
163 0.877417203515 18.009 12.7660655571 0.002 0.002 18 0.002 0.002 0.001
164 0.876803450363 18.009 12.7660655571 0.002 0.002 18 0.002 0.002 0.001
165 0.876189697212 18.009 12.7660655571 0.002 0.002 18 0.002 0.002 0.001
166 0.87557594406 18.009 12.7660655571 0.002 0.002 18 0.002 0.002 0.001
167 0.874962190908 18.009 12.7660655571 0.002 0.002 18 0.002 0.002 0.001
168 0.874348437756 18.009 12.7660655571 0.002 0.002 18 0.002 0.002 0.001
169 0.873734684605 18.009 12.7660655571 0.002 0.002 18 0.002 0.002 0.001
170 0.873120931453 18.009 12.7660655571 0.002 0.002 18 0.002 0.002 0.001
171 0.872507178301 18.009 12.7660655571 0.002 0.002 18 0.002 0.002 0.001
172 0.871893425149 18.009 12.7660655571 0.002 0.002 18 0.002 0.002 0.001
173 0.871279671997 18.009 12.7660655571 0.002 0.002 18 0.002 0.002 0.001
174 0.870665918846 18.009 12.7660655571 0.002 0.002 18 0.002 0.002 0.001
175 0.870052165694 18.009 12.7660655571 0.002 0.002 18 0.002 0.002 0.001
176 0.869438412542 18.009 12.7660655571 0.002 0.002 18 0.002 0.002 0.001
177 0.86882465939 18.009 12.7660655571 0.002 0.002 18 0.002 0.002 0.001
178 0.868210906238 18.009 12.7660655571 0.002 0.002 18 0.002 0.002 0.001
179 0.867597153087 18.009 12.7660655571 0.002 0.002 18 0.002 0.002 0.001
180 0.866983399935 18.009 12.7660655571 0.002 0.002 18 0.002 0.002 0.001
181 0.866369646783 18.009 12.7660655571 0.002 0.002 18 0.002 0.002 0.001
182 0.865755893631 18.009 12.7660655571 0.002 0.002 18 0.002 0.002 0.001
183 0.86514214048 18.009 12.7660655571 0.002 0.002 18 0.002 0.002 0.001
184 0.864528387328 18.009 12.7660655571 0.002 0.002 18 0.002 0.002 0.001
185 0.863914634176 18.009 12.7660655571 0.002 0.002 18 0.002 0.002 0.001
186 0.863300881024 18.009 12.7660655571 0.002 0.002 18 0.002 0.002 0.001
187 0.862687127872 0.159 12.7660655571 0.002 0.002 0.002 0.15 0.002 0.001
188 0.862073374721 0.159 0.0957325144286 0.002 0.002 0.002 0.15 0.002 0.001
189 0.862068772196 0.159 0.0957325144286 0.002 0.002 0.002 0.15 0.002 0.001
190 0.862064169671 0.159 0.0957325144286 0.002 0.002 0.002 0.15 0.002 0.001
191 0.862059567146 0.159 0.0957325144286 0.002 0.002 0.002 0.15 0.002 0.001
192 0.862054964622 0.159 0.0957325144286 0.002 0.002 0.002 0.15 0.002 0.001
193 0.862050362097 0.159 0.0957325144286 0.002 0.002 0.002 0.15 0.002 0.001
194 0.862045759572 0.159 0.0957325144286 0.002 0.002 0.002 0.15 0.002 0.001
195 0.862041157048 0.159 0.0957325144286 0.002 0.002 0.002 0.15 0.002 0.001
196 0.862036554523 0.159 0.0957325144286 0.002 0.002 0.002 0.15 0.002 0.001
197 0.862031951998 0.159 0.0957325144286 0.002 0.002 0.002 0.15 0.002 0.001
198 0.862027349473 0.159 0.0957325144286 0.002 0.002 0.002 0.15 0.002 0.001
199 0.862022746949 13.009 0.0957325144286 0.002 0.002 0.002 0.002 13 0.001
200 0.862018144424 13.009 9.22170841429 0.002 0.002 0.002 0.002 13 0.001
201 0.861574793058 13.009 9.22170841429 0.002 0.002 0.002 0.002 13 0.001
202 0.861131441692 13.009 9.22170841429 0.002 0.002 0.002 0.002 13 0.001
203 0.860688090326 13.009 9.22170841429 0.002 0.002 0.002 0.002 13 0.001
204 0.86024473896 13.009 9.22170841429 0.002 0.002 0.002 0.002 13 0.001
205 0.859801387593 0.11 9.22170841429 0.002 0.002 0.002 0.002 0.002 0.1
206 0.859358036227 0.11 0.0627488714286 0.002 0.002 0.002 0.002 0.002 0.1
207 0.859355019455 0.11 0.0627488714286 0.002 0.002 0.002 0.002 0.002 0.1
208 0.859352002682 0.11 0.0627488714286 0.002 0.002 0.002 0.002 0.002 0.1
209 0.859348985909 0.11 0.0627488714286 0.002 0.002 0.002 0.002 0.002 0.1
210 0.859345969137 0.11 0.0627488714286 0.002 0.002 0.002 0.002 0.002 0.1
211 0.859342952364 0.11 0.0627488714286 0.002 0.002 0.002 0.002 0.002 0.1
212 0.859339935591 0.11 0.0627488714286 0.002 0.002 0.002 0.002 0.002 0.1
213 0.859336918819 0.11 0.0627488714286 0.002 0.002 0.002 0.002 0.002 0.1
214 0.859333902046 0.11 0.0627488714286 0.002 0.002 0.002 0.002 0.002 0.1
215 0.859330885273 0.11 0.0627488714286 0.002 0.002 0.002 0.002 0.002 0.1
216 0.859327868501 0.11 0.0627488714286 0.002 0.002 0.002 0.002 0.002 0.1
217 0.859324851728 0.11 0.0627488714286 0.002 0.002 0.002 0.002 0.002 0.1
218 0.859321834955 0.11 0.0627488714286 0.002 0.002 0.002 0.002 0.002 0.1
219 0.859318818183 0.11 0.0627488714286 0.002 0.002 0.002 0.002 0.002 0.1
220 0.85931580141 0.11 0.0627488714286 0.002 0.002 0.002 0.002 0.002 0.1
221 0.859312784637 0.11 0.0627488714286 0.002 0.002 0.002 0.002 0.002 0.1
222 0.859309767865 0.11 0.0627488714286 0.002 0.002 0.002 0.002 0.002 0.1
223 0.859306751092 0.11 0.0627488714286 0.002 0.002 0.002 0.002 0.002 0.1
224 0.859303734319 0.11 0.0627488714286 0.002 0.002 0.002 0.002 0.002 0.1
225 0.859300717547 0.11 0.0627488714286 0.002 0.002 0.002 0.002 0.002 0.1
226 0.859297700774 0.11 0.0627488714286 0.002 0.002 0.002 0.002 0.002 0.1
227 0.859294684001 0.11 0.0627488714286 0.002 0.002 0.002 0.002 0.002 0.1
228 0.859291667229 0.11 0.0627488714286 0.002 0.002 0.002 0.002 0.002 0.1
229 0.859288650456 0.011 0.0627488714286 0.002 0.002 0.002 0.002 0.002 0.001
230 0.859285633683 0.011 0.00222519 0.002 0.002 0.002 0.002 0.002 0.001
231 0.859285526703 0.011 0.00222519 0.002 0.002 0.002 0.002 0.002 0.001
232 0.859285419723 0.011 0.00222519 0.002 0.002 0.002 0.002 0.002 0.001
233 0.859285312743 0.011 0.00222519 0.002 0.002 0.002 0.002 0.002 0.001
234 0.859285205762 0.011 0.00222519 0.002 0.002 0.002 0.002 0.002 0.001
235 0.859285098782 0.011 0.00222519 0.002 0.002 0.002 0.002 0.002 0.001
236 0.859284991802 0.011 0.00222519 0.002 0.002 0.002 0.002 0.002 0.001
237 0.859284884821 0.011 0.00222519 0.002 0.002 0.002 0.002 0.002 0.001
238 0.859284777841 0.011 0.00222519 0.002 0.002 0.002 0.002 0.002 0.001
239 0.859284670861 0.011 0.00222519 0.002 0.002 0.002 0.002 0.002 0.001
240 0.859284563881 0.011 0.00222519 0.002 0.002 0.002 0.002 0.002 0.001
241 0.8592844569 48.209 0.00222519 48.2 0.002 0.002 0.002 0.002 0.001
242 0.85928434992 48.209 34.0475322721 48.2 0.002 0.002 0.002 0.002 0.001
243 0.85764744933 48.209 34.0475322721 48.2 0.002 0.002 0.002 0.002 0.001
244 0.85601054874 48.209 34.0475322721 48.2 0.002 0.002 0.002 0.002 0.001
245 0.85437364815 48.209 34.0475322721 48.2 0.002 0.002 0.002 0.002 0.001
246 0.85273674756 48.209 34.0475322721 48.2 0.002 0.002 0.002 0.002 0.001
247 0.85109984697 48.209 34.0475322721 48.2 0.002 0.002 0.002 0.002 0.001
248 0.84946294638 48.209 34.0475322721 48.2 0.002 0.002 0.002 0.002 0.001
249 0.84782604579 48.209 34.0475322721 48.2 0.002 0.002 0.002 0.002 0.001
250 0.8461891452 48.209 34.0475322721 48.2 0.002 0.002 0.002 0.002 0.001
251 0.84455224461 48.209 34.0475322721 48.2 0.002 0.002 0.002 0.002 0.001
252 0.84291534402 48.209 34.0475322721 48.2 0.002 0.002 0.002 0.002 0.001
253 0.84127844343 48.209 34.0475322721 48.2 0.002 0.002 0.002 0.002 0.001
254 0.83964154284 48.209 34.0475322721 48.2 0.002 0.002 0.002 0.002 0.001
255 0.83800464225 48.209 34.0475322721 48.2 0.002 0.002 0.002 0.002 0.001
256 0.83636774166 48.209 34.0475322721 48.2 0.002 0.002 0.002 0.002 0.001
257 0.83473084107 48.209 34.0475322721 48.2 0.002 0.002 0.002 0.002 0.001
258 0.83309394048 48.209 34.0475322721 48.2 0.002 0.002 0.002 0.002 0.001
259 0.83145703989 48.209 34.0475322721 48.2 0.002 0.002 0.002 0.002 0.001
260 0.8298201393 48.209 34.0475322721 48.2 0.002 0.002 0.002 0.002 0.001
261 0.82818323871 48.209 34.0475322721 48.2 0.002 0.002 0.002 0.002 0.001
262 0.82654633812 48.209 34.0475322721 48.2 0.002 0.002 0.002 0.002 0.001
263 0.82490943753 48.209 34.0475322721 48.2 0.002 0.002 0.002 0.002 0.001
264 0.82327253694 48.209 34.0475322721 48.2 0.002 0.002 0.002 0.002 0.001
265 0.82163563635 48.209 34.0475322721 48.2 0.002 0.002 0.002 0.002 0.001
266 0.81999873576 48.209 34.0475322721 48.2 0.002 0.002 0.002 0.002 0.001
267 0.81836183517 48.209 34.0475322721 48.2 0.002 0.002 0.002 0.002 0.001
268 0.81672493458 48.209 34.0475322721 48.2 0.002 0.002 0.002 0.002 0.001
269 0.81508803399 48.209 34.0475322721 48.2 0.002 0.002 0.002 0.002 0.001
