%time Master_Adderess Master_Data Bus_Data
13320 101 1 1
13350 201 1 1
13356 301 1 1
13386 401 1 1
13404 501 1 1
13440 101 1 1
13470 201 1 1
13476 301 1 1
13506 401 1 1
13524 501 1 1
13560 101 1 1
13590 201 1 1
13596 301 1 1
13626 401 1 1
13644 501 1 1
13680 101 1 1
13710 201 1 1
13716 301 1 1
13746 401 1 1
13764 501 1 1
13800 101 1 1
13830 201 1 1
13836 301 1 1
13866 401 1 1
13884 501 1 1
13920 101 1 1
13950 201 1 1
13956 301 1 1
13986 401 1 1
14004 501 1 1
14040 101 1 1
14070 201 1 1
14076 301 1 1
14106 401 1 1
14124 501 1 1
14160 101 1 1
14190 201 1 1
14196 301 1 1
14226 401 1 1
14244 501 1 1
14280 101 1 1
14310 201 1 1
14316 301 1 1
14346 401 1 1
14364 501 1 1
14400 101 1 1
14430 201 1 1
14436 301 1 1
14466 401 1 1
14484 501 1 1
14520 101 1 1
14550 201 1 1
14556 301 1 1
14586 401 1 1
14604 501 1 1
14640 101 1 1
14670 201 1 1
14676 301 1 1
14706 401 1 1
14724 501 1 1
14760 101 1 1
14790 201 1 1
14796 301 1 1
14826 401 1 1
14844 501 1 1
14880 101 1 1
14910 201 1 1
14916 301 1 1
14946 401 1 1
14964 501 1 1
15000 101 1 1
15030 201 1 1
15036 301 1 1
15066 401 1 1
15084 501 1 1
15120 101 1 1
15150 201 1 1
15156 301 1 1
15186 401 1 1
15204 501 1 1
15240 101 1 1
15270 201 1 1
15276 301 1 1
15306 401 1 1
15324 501 1 1
15360 101 1 1
15390 201 1 1
15396 301 1 1
15426 401 1 1
15444 501 1 1
15480 101 1 1
15510 201 1 1
15516 301 1 1
15546 401 1 1
15564 501 1 1
15600 101 1 1
15630 201 1 1
15636 301 1 1
15666 401 1 1
15684 501 1 1
15720 101 1 1
15750 201 1 1
15756 301 1 1
15786 401 1 1
15804 501 1 1
15840 101 1 1
15870 201 1 1
15876 301 1 1
15906 401 1 1
15924 501 1 1
15960 101 1 1
15990 201 1 1
15996 301 1 1
16026 401 1 1
16044 501 1 1
16080 101 1 1
16110 201 1 1
16116 301 1 1
16146 401 1 1
16164 501 1 1
16200 101 1 1
16230 201 1 1
16236 301 1 1
16266 401 1 1
16284 501 1 1
16320 101 1 1
16350 201 1 1
16356 301 1 1
16386 401 1 1
16404 501 1 1
16440 101 1 1
16470 201 1 1
16476 301 1 1
16506 401 1 1
16524 501 1 1
16560 101 1 1
16590 201 1 1
16596 301 1 1
16626 401 1 1
16644 501 1 1
16680 101 1 1
16710 201 1 1
16716 301 1 1
16746 401 1 1
16764 501 1 1
16800 101 1 1
16830 201 1 1
16836 301 1 1
16866 401 1 1
16884 501 1 1
16920 101 1 1
16950 201 1 1
16956 301 1 1
16986 401 1 1
17004 501 1 1
17040 101 1 1
17070 201 1 1
17076 301 1 1
17106 401 1 1
17124 501 1 1
17160 101 1 1
17190 201 1 1
17196 301 1 1
17226 401 1 1
17244 501 1 1
17280 101 1 1
17310 201 1 1
17316 301 1 1
17346 401 1 1
17364 501 1 1
17400 101 1 1
17430 201 1 1
17436 301 1 1
17466 401 1 1
17484 501 1 1
17520 101 1 1
17550 201 1 1
17556 301 1 1
17586 401 1 1
17604 501 1 1
17640 101 1 1
17670 201 1 1
17676 301 1 1
17706 401 1 1
17724 501 1 1
17760 101 1 1
17790 201 1 1
17796 301 1 1
17826 401 1 1
17844 501 1 1
17880 101 1 1
17910 201 1 1
17916 301 1 1
17946 401 1 1
17964 501 1 1
18000 101 1 1
18030 201 1 1
18036 301 1 1
18066 401 1 1
18084 501 1 1
18120 101 1 1
18150 201 1 1
18156 301 1 1
18186 401 1 1
18204 501 1 1
18240 101 1 1
18270 201 1 1
18276 301 1 1
18306 401 1 1
18324 501 1 1
18360 101 1 1
18390 201 1 1
18396 301 1 1
18426 401 1 1
18444 501 1 1
18480 101 1 1
18510 201 1 1
18516 301 1 1
18546 401 1 1
18564 501 1 1
18600 101 1 1
18630 201 1 1
18636 301 1 1
18666 401 1 1
18684 501 1 1
18720 101 1 1
18750 201 1 1
18756 301 1 1
18786 401 1 1
18804 501 1 1
18840 101 1 1
18870 201 1 1
18876 301 1 1
18906 401 1 1
18924 501 1 1
18960 101 1 1
18990 201 1 1
18996 301 1 1
19026 401 1 1
19044 501 1 1
19080 101 1 1
19110 201 1 1
19116 301 1 1
19146 401 1 1
19164 501 1 1
19200 101 1 1
19230 201 1 1
19236 301 1 1
19266 401 1 1
19284 501 1 1
19320 101 1 1
19350 201 1 1
19356 301 1 1
19386 401 1 1
19404 501 1 1
19440 101 1 1
19470 201 1 1
19476 301 1 1
19506 401 1 1
19524 501 1 1
19560 101 1 1
19590 201 1 1
19596 301 1 1
19626 401 1 1
19644 501 1 1
19680 101 1 1
19710 201 1 1
19716 301 1 1
19746 401 1 1
19764 501 1 1
19800 101 1 1
19830 201 1 1
19836 301 1 1
19866 401 1 1
19884 501 1 1
19920 101 1 1
19950 201 1 1
19956 301 1 1
19986 401 1 1
20004 501 1 1
20040 101 1 1
20070 201 1 1
20076 301 1 1
20106 401 1 1
20124 501 1 1
20160 101 1 1
20190 201 1 1
20196 301 1 1
20226 401 1 1
20244 501 1 1
20280 101 1 1
20310 201 1 1
20316 301 1 1
20346 401 1 1
20364 501 1 1
20400 101 1 1
20430 201 1 1
20436 301 1 1
20466 401 1 1
20484 501 1 1
20520 101 1 1
20550 201 1 1
20556 301 1 1
20586 401 1 1
20604 501 1 1
20640 101 1 1
20670 201 1 1
20676 301 1 1
20706 401 1 1
20724 501 1 1
20760 101 1 1
20790 201 1 1
20796 301 1 1
20826 401 1 1
20844 501 1 1
20880 101 1 1
20910 201 1 1
20916 301 1 1
20946 401 1 1
20964 501 1 1
21000 101 1 1
21030 201 1 1
21036 301 1 1
21066 401 1 1
21084 501 1 1
21120 101 1 1
21150 201 1 1
21156 301 1 1
21186 401 1 1
21204 501 1 1
21240 101 1 1
21270 201 1 1
21276 301 1 1
21306 401 1 1
21324 501 1 1
21360 101 1 1
21390 201 1 1
21396 301 1 1
21426 401 1 1
21444 501 1 1
21480 101 1 1
21510 201 1 1
21516 301 1 1
21546 401 1 1
21564 501 1 1
21600 101 1 1
21630 201 1 1
21636 301 1 1
21666 401 1 1
21684 501 1 1
21720 101 1 1
21750 201 1 1
21756 301 1 1
21786 401 1 1
21804 501 1 1
21840 101 1 1
21870 201 1 1
21876 301 1 1
21906 401 1 1
21924 501 1 1
21960 101 1 1
21990 201 1 1
21996 301 1 1
22026 401 1 1
22044 501 1 1
22080 101 1 1
22110 201 1 1
22116 301 1 1
22146 401 1 1
22164 501 1 1
22200 101 1 1
22230 201 1 1
22236 301 1 1
22266 401 1 1
22284 501 1 1
22320 101 1 1
22350 201 1 1
22356 301 1 1
22386 401 1 1
22404 501 1 1
22440 101 1 1
22470 201 1 1
22476 301 1 1
22506 401 1 1
22524 501 1 1
22560 101 1 1
22590 201 1 1
22596 301 1 1
22626 401 1 1
22644 501 1 1
22680 101 1 1
22710 201 1 1
22716 301 1 1
22746 401 1 1
22764 501 1 1
22800 101 1 1
22830 201 1 1
22836 301 1 1
22866 401 1 1
22884 501 1 1
22920 101 1 1
22950 201 1 1
22956 301 1 1
22986 401 1 1
23004 501 1 1
23040 101 1 1
23070 201 1 1
23076 301 1 1
23106 401 1 1
23124 501 1 1
23160 101 1 1
23190 201 1 1
23196 301 1 1
23226 401 1 1
23244 501 1 1
23280 101 1 1
23310 201 1 1
23316 301 1 1
23346 401 1 1
23364 501 1 1
23400 101 1 1
23430 201 1 1
23436 301 1 1
23466 401 1 1
23484 501 1 1
23520 101 1 1
23550 201 1 1
23556 301 1 1
23586 401 1 1
23604 501 1 1
23640 101 1 1
23670 201 1 1
23676 301 1 1
23706 401 1 1
23724 501 1 1
23760 101 1 1
23790 201 1 1
23796 301 1 1
23826 401 1 1
23844 501 1 1
23880 101 1 1
23910 201 1 1
23916 301 1 1
23946 401 1 1
23964 501 1 1
24000 101 1 1
24030 201 1 1
24036 301 1 1
24066 401 1 1
24084 501 1 1
24120 101 1 1
24150 201 1 1
24156 301 1 1
24186 401 1 1
24204 501 1 1
24240 101 1 1
24270 201 1 1
24276 301 1 1
24306 401 1 1
24324 501 1 1
24360 101 1 1
24390 201 1 1
24396 301 1 1
24426 401 1 1
24444 501 1 1
24480 101 1 1
24510 201 1 1
24516 301 1 1
24546 401 1 1
24564 501 1 1
24600 101 1 1
24630 201 1 1
24636 301 1 1
24666 401 1 1
24684 501 1 1
24720 101 1 1
24750 201 1 1
24756 301 1 1
24786 401 1 1
24804 501 1 1
24840 101 1 1
24870 201 1 1
24876 301 1 1
24906 401 1 1
24924 501 1 1
24960 101 1 1
24990 201 1 1
24996 301 1 1
25026 401 1 1
25044 501 1 1
25080 101 1 1
25110 201 1 1
25116 301 1 1
25146 401 1 1
25164 501 1 1
25200 101 1 1
25230 201 1 1
25236 301 1 1
25266 401 1 1
25284 501 1 1
25320 101 1 1
25350 201 1 1
25356 301 1 1
25386 401 1 1
25404 501 1 1
25440 101 1 1
25470 201 1 1
25476 301 1 1
25506 401 1 1
25524 501 1 1
25560 101 1 1
25590 201 1 1
25596 301 1 1
25626 401 1 1
25644 501 1 1
25680 101 1 1
25710 201 1 1
25716 301 1 1
25746 401 1 1
25764 501 1 1
25800 101 1 1
25830 201 1 1
25836 301 1 1
25866 401 1 1
25884 501 1 1
25920 101 1 1
25950 201 1 1
25956 301 1 1
25986 401 1 1
26004 501 1 1
26040 101 1 1
26070 201 1 1
26076 301 1 1
26106 401 1 1
26124 501 1 1
26160 101 1 1
26190 201 1 1
26196 301 1 1
26226 401 1 1
26244 501 1 1
